id,question,answer,category,state,tags,priority,difficulty,personas,source
1077,What about no_state_license?,"Texas does not require state-level general contractor licensing. Must check municipal requirements for specific cities/counties. No age, experience, or educational requirements at state level. State licensing required for specific trades: Plumbing (Responsible Master Plumber), HVAC (Class A/B with insurance requirements), Electrical (2+ years journeyman before master). Municipal bonds may be required (example: San Antonio demolition $5,000 annual bond). This information is time-sensitive.",state_licensing_requirements,TX,"texas,no_state_license,municipal_requirements,specialty_trades_licensed,rmp_plumbing,hvac_classes",high,basic,"confused_newcomer,urgent_operator",state_requirements_complete.json - TX section
1078,Tell me about no_state_license,"Texas does not require state-level general contractor licensing. Must check municipal requirements for specific cities/counties. No age, experience, or educational requirements at state level. State licensing required for specific trades: Plumbing (Responsible Master Plumber), HVAC (Class A/B with insurance requirements), Electrical (2+ years journeyman before master). Municipal bonds may be required (example: San Antonio demolition $5,000 annual bond). This information is time-sensitive.",state_licensing_requirements,TX,"texas,no_state_license,municipal_requirements,specialty_trades_licensed,rmp_plumbing,hvac_classes",high,basic,"confused_newcomer,urgent_operator",state_requirements_complete.json - TX section
1079,Late Renewal and Reinstatement Procedures,"Virginia: 30-day grace period after expiration, reinstatement fee required after 30 days. Utah: Late fees apply after November 30 expiration, re-examination required if lapsed more than 6 months. North Carolina: Annual renewal due November 30, storm damage extension allows 2024 CE completion Jan-Feb 2025. Georgia: $100 late penalty on $100 renewal fee, license revocation if not renewed within 6 months. This information is time-sensitive.",troubleshooting_problem_resolution,,"late_renewal,grace_periods,reinstatement_fees,re_examination,storm_extensions,revocation_risk",high,intermediate,"overwhelmed_veteran,confused_newcomer",state_requirements_complete.json multiple states
1080,What about late_renewal?,"Virginia: 30-day grace period after expiration, reinstatement fee required after 30 days. Utah: Late fees apply after November 30 expiration, re-examination required if lapsed more than 6 months. North Carolina: Annual renewal due November 30, storm damage extension allows 2024 CE completion Jan-Feb 2025. Georgia: $100 late penalty on $100 renewal fee, license revocation if not renewed within 6 months. This information is time-sensitive.",troubleshooting_problem_resolution,,"late_renewal,grace_periods,reinstatement_fees,re_examination,storm_extensions,revocation_risk",high,intermediate,"overwhelmed_veteran,confused_newcomer",state_requirements_complete.json multiple states
1081,Tell me about late_renewal,"Virginia: 30-day grace period after expiration, reinstatement fee required after 30 days. Utah: Late fees apply after November 30 expiration, re-examination required if lapsed more than 6 months. North Carolina: Annual renewal due November 30, storm damage extension allows 2024 CE completion Jan-Feb 2025. Georgia: $100 late penalty on $100 renewal fee, license revocation if not renewed within 6 months. This information is time-sensitive.",troubleshooting_problem_resolution,,"late_renewal,grace_periods,reinstatement_fees,re_examination,storm_extensions,revocation_risk",high,intermediate,"overwhelmed_veteran,confused_newcomer",state_requirements_complete.json multiple states
1082,How does late_renewal work?,"Virginia: 30-day grace period after expiration, reinstatement fee required after 30 days. Utah: Late fees apply after November 30 expiration, re-examination required if lapsed more than 6 months. North Carolina: Annual renewal due November 30, storm damage extension allows 2024 CE completion Jan-Feb 2025. Georgia: $100 late penalty on $100 renewal fee, license revocation if not renewed within 6 months. This information is time-sensitive.",troubleshooting_problem_resolution,,"late_renewal,grace_periods,reinstatement_fees,re_examination,storm_extensions,revocation_risk",high,intermediate,"overwhelmed_veteran,confused_newcomer",state_requirements_complete.json multiple states
1083,late_renewal information,"Virginia: 30-day grace period after expiration, reinstatement fee required after 30 days. Utah: Late fees apply after November 30 expiration, re-examination required if lapsed more than 6 months. North Carolina: Annual renewal due November 30, storm damage extension allows 2024 CE completion Jan-Feb 2025. Georgia: $100 late penalty on $100 renewal fee, license revocation if not renewed within 6 months. This information is time-sensitive.",troubleshooting_problem_resolution,,"late_renewal,grace_periods,reinstatement_fees,re_examination,storm_extensions,revocation_risk",high,intermediate,"overwhelmed_veteran,confused_newcomer",state_requirements_complete.json multiple states
1084,I need help with late_renewal,"Virginia: 30-day grace period after expiration, reinstatement fee required after 30 days. Utah: Late fees apply after November 30 expiration, re-examination required if lapsed more than 6 months. North Carolina: Annual renewal due November 30, storm damage extension allows 2024 CE completion Jan-Feb 2025. Georgia: $100 late penalty on $100 renewal fee, license revocation if not renewed within 6 months. This information is time-sensitive.",troubleshooting_problem_resolution,,"late_renewal,grace_periods,reinstatement_fees,re_examination,storm_extensions,revocation_risk",high,intermediate,"overwhelmed_veteran,confused_newcomer",state_requirements_complete.json multiple states
1085,What about grace_periods?,"Virginia: 30-day grace period after expiration, reinstatement fee required after 30 days. Utah: Late fees apply after November 30 expiration, re-examination required if lapsed more than 6 months. North Carolina: Annual renewal due November 30, storm damage extension allows 2024 CE completion Jan-Feb 2025. Georgia: $100 late penalty on $100 renewal fee, license revocation if not renewed within 6 months. This information is time-sensitive.",troubleshooting_problem_resolution,,"late_renewal,grace_periods,reinstatement_fees,re_examination,storm_extensions,revocation_risk",high,intermediate,"overwhelmed_veteran,confused_newcomer",state_requirements_complete.json multiple states
1086,Tell me about grace_periods,"Virginia: 30-day grace period after expiration, reinstatement fee required after 30 days. Utah: Late fees apply after November 30 expiration, re-examination required if lapsed more than 6 months. North Carolina: Annual renewal due November 30, storm damage extension allows 2024 CE completion Jan-Feb 2025. Georgia: $100 late penalty on $100 renewal fee, license revocation if not renewed within 6 months. This information is time-sensitive.",troubleshooting_problem_resolution,,"late_renewal,grace_periods,reinstatement_fees,re_examination,storm_extensions,revocation_risk",high,intermediate,"overwhelmed_veteran,confused_newcomer",state_requirements_complete.json multiple states
1087,Economic Uncertainty Objection Response,"When customers express economic concerns: 'I understand economic uncertainty makes every investment decision critical. That's exactly why getting licensed now is more important than ever. In uncertain times, clients choose licensed contractors for security and legal protection. Licensed contractors are last to lose work and first to get new projects. Your competition is cutting corners - this is your opportunity to differentiate. The contractors who invested in licensing during the 2008 recession dominated the recovery. Economic uncertainty makes licensing essential, not optional.' This information is time-sensitive.",objection_handling_scripts,,"objection_handling,economic_uncertainty,competitive_advantage,client_security,recession_opportunity",critical,advanced,"overwhelmed_veteran,skeptical_shopper",Derived from market positioning strategy
1088,What about objection_handling?,"When customers express economic concerns: 'I understand economic uncertainty makes every investment decision critical. That's exactly why getting licensed now is more important than ever. In uncertain times, clients choose licensed contractors for security and legal protection. Licensed contractors are last to lose work and first to get new projects. Your competition is cutting corners - this is your opportunity to differentiate. The contractors who invested in licensing during the 2008 recession dominated the recovery. Economic uncertainty makes licensing essential, not optional.' This information is time-sensitive.",objection_handling_scripts,,"objection_handling,economic_uncertainty,competitive_advantage,client_security,recession_opportunity",critical,advanced,"overwhelmed_veteran,skeptical_shopper",Derived from market positioning strategy
1089,Tell me about objection_handling,"When customers express economic concerns: 'I understand economic uncertainty makes every investment decision critical. That's exactly why getting licensed now is more important than ever. In uncertain times, clients choose licensed contractors for security and legal protection. Licensed contractors are last to lose work and first to get new projects. Your competition is cutting corners - this is your opportunity to differentiate. The contractors who invested in licensing during the 2008 recession dominated the recovery. Economic uncertainty makes licensing essential, not optional.' This information is time-sensitive.",objection_handling_scripts,,"objection_handling,economic_uncertainty,competitive_advantage,client_security,recession_opportunity",critical,advanced,"overwhelmed_veteran,skeptical_shopper",Derived from market positioning strategy
1090,How does objection_handling work?,"When customers express economic concerns: 'I understand economic uncertainty makes every investment decision critical. That's exactly why getting licensed now is more important than ever. In uncertain times, clients choose licensed contractors for security and legal protection. Licensed contractors are last to lose work and first to get new projects. Your competition is cutting corners - this is your opportunity to differentiate. The contractors who invested in licensing during the 2008 recession dominated the recovery. Economic uncertainty makes licensing essential, not optional.' This information is time-sensitive.",objection_handling_scripts,,"objection_handling,economic_uncertainty,competitive_advantage,client_security,recession_opportunity",critical,advanced,"overwhelmed_veteran,skeptical_shopper",Derived from market positioning strategy
1091,objection_handling information,"When customers express economic concerns: 'I understand economic uncertainty makes every investment decision critical. That's exactly why getting licensed now is more important than ever. In uncertain times, clients choose licensed contractors for security and legal protection. Licensed contractors are last to lose work and first to get new projects. Your competition is cutting corners - this is your opportunity to differentiate. The contractors who invested in licensing during the 2008 recession dominated the recovery. Economic uncertainty makes licensing essential, not optional.' This information is time-sensitive.",objection_handling_scripts,,"objection_handling,economic_uncertainty,competitive_advantage,client_security,recession_opportunity",critical,advanced,"overwhelmed_veteran,skeptical_shopper",Derived from market positioning strategy
1092,I need help with objection_handling,"When customers express economic concerns: 'I understand economic uncertainty makes every investment decision critical. That's exactly why getting licensed now is more important than ever. In uncertain times, clients choose licensed contractors for security and legal protection. Licensed contractors are last to lose work and first to get new projects. Your competition is cutting corners - this is your opportunity to differentiate. The contractors who invested in licensing during the 2008 recession dominated the recovery. Economic uncertainty makes licensing essential, not optional.' This information is time-sensitive.",objection_handling_scripts,,"objection_handling,economic_uncertainty,competitive_advantage,client_security,recession_opportunity",critical,advanced,"overwhelmed_veteran,skeptical_shopper",Derived from market positioning strategy
1093,What about economic_uncertainty?,"When customers express economic concerns: 'I understand economic uncertainty makes every investment decision critical. That's exactly why getting licensed now is more important than ever. In uncertain times, clients choose licensed contractors for security and legal protection. Licensed contractors are last to lose work and first to get new projects. Your competition is cutting corners - this is your opportunity to differentiate. The contractors who invested in licensing during the 2008 recession dominated the recovery. Economic uncertainty makes licensing essential, not optional.' This information is time-sensitive.",objection_handling_scripts,,"objection_handling,economic_uncertainty,competitive_advantage,client_security,recession_opportunity",critical,advanced,"overwhelmed_veteran,skeptical_shopper",Derived from market positioning strategy
1094,Tell me about economic_uncertainty,"When customers express economic concerns: 'I understand economic uncertainty makes every investment decision critical. That's exactly why getting licensed now is more important than ever. In uncertain times, clients choose licensed contractors for security and legal protection. Licensed contractors are last to lose work and first to get new projects. Your competition is cutting corners - this is your opportunity to differentiate. The contractors who invested in licensing during the 2008 recession dominated the recovery. Economic uncertainty makes licensing essential, not optional.' This information is time-sensitive.",objection_handling_scripts,,"objection_handling,economic_uncertainty,competitive_advantage,client_security,recession_opportunity",critical,advanced,"overwhelmed_veteran,skeptical_shopper",Derived from market positioning strategy
1095,Continuing Education Requirements by State,"Requirements vary significantly by state: Florida 14 hours every 2 years, Utah 6 hours every 2 years, North Carolina 8 hours annually (2 hours mandatory course + 6 elective), Tennessee 8 hours every 2 years (minimum 2 hours worker safety), Georgia varies by license type (0-6 hours), California/Nevada/Arizona currently 0 hours. Online course limits: Georgia 50% maximum online, North Carolina no December completion allowed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",business_formation_operations,FL,"continuing_education,state_variations,florida_14,utah_6,nc_annual_8,online_limits",normal,intermediate,"confused_newcomer,overwhelmed_veteran",state_requirements_complete.json multiple states
1096,What about continuing_education?,"Requirements vary significantly by state: Florida 14 hours every 2 years, Utah 6 hours every 2 years, North Carolina 8 hours annually (2 hours mandatory course + 6 elective), Tennessee 8 hours every 2 years (minimum 2 hours worker safety), Georgia varies by license type (0-6 hours), California/Nevada/Arizona currently 0 hours. Online course limits: Georgia 50% maximum online, North Carolina no December completion allowed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",business_formation_operations,FL,"continuing_education,state_variations,florida_14,utah_6,nc_annual_8,online_limits",normal,intermediate,"confused_newcomer,overwhelmed_veteran",state_requirements_complete.json multiple states
1097,Tell me about continuing_education,"Requirements vary significantly by state: Florida 14 hours every 2 years, Utah 6 hours every 2 years, North Carolina 8 hours annually (2 hours mandatory course + 6 elective), Tennessee 8 hours every 2 years (minimum 2 hours worker safety), Georgia varies by license type (0-6 hours), California/Nevada/Arizona currently 0 hours. Online course limits: Georgia 50% maximum online, North Carolina no December completion allowed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",business_formation_operations,FL,"continuing_education,state_variations,florida_14,utah_6,nc_annual_8,online_limits",normal,intermediate,"confused_newcomer,overwhelmed_veteran",state_requirements_complete.json multiple states
1098,How does continuing_education work?,"Requirements vary significantly by state: Florida 14 hours every 2 years, Utah 6 hours every 2 years, North Carolina 8 hours annually (2 hours mandatory course + 6 elective), Tennessee 8 hours every 2 years (minimum 2 hours worker safety), Georgia varies by license type (0-6 hours), California/Nevada/Arizona currently 0 hours. Online course limits: Georgia 50% maximum online, North Carolina no December completion allowed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",business_formation_operations,FL,"continuing_education,state_variations,florida_14,utah_6,nc_annual_8,online_limits",normal,intermediate,"confused_newcomer,overwhelmed_veteran",state_requirements_complete.json multiple states
1099,continuing_education information,"Requirements vary significantly by state: Florida 14 hours every 2 years, Utah 6 hours every 2 years, North Carolina 8 hours annually (2 hours mandatory course + 6 elective), Tennessee 8 hours every 2 years (minimum 2 hours worker safety), Georgia varies by license type (0-6 hours), California/Nevada/Arizona currently 0 hours. Online course limits: Georgia 50% maximum online, North Carolina no December completion allowed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",business_formation_operations,FL,"continuing_education,state_variations,florida_14,utah_6,nc_annual_8,online_limits",normal,intermediate,"confused_newcomer,overwhelmed_veteran",state_requirements_complete.json multiple states
1100,I need help with continuing_education,"Requirements vary significantly by state: Florida 14 hours every 2 years, Utah 6 hours every 2 years, North Carolina 8 hours annually (2 hours mandatory course + 6 elective), Tennessee 8 hours every 2 years (minimum 2 hours worker safety), Georgia varies by license type (0-6 hours), California/Nevada/Arizona currently 0 hours. Online course limits: Georgia 50% maximum online, North Carolina no December completion allowed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",business_formation_operations,FL,"continuing_education,state_variations,florida_14,utah_6,nc_annual_8,online_limits",normal,intermediate,"confused_newcomer,overwhelmed_veteran",state_requirements_complete.json multiple states
1101,What about state_variations?,"Requirements vary significantly by state: Florida 14 hours every 2 years, Utah 6 hours every 2 years, North Carolina 8 hours annually (2 hours mandatory course + 6 elective), Tennessee 8 hours every 2 years (minimum 2 hours worker safety), Georgia varies by license type (0-6 hours), California/Nevada/Arizona currently 0 hours. Online course limits: Georgia 50% maximum online, North Carolina no December completion allowed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",business_formation_operations,FL,"continuing_education,state_variations,florida_14,utah_6,nc_annual_8,online_limits",normal,intermediate,"confused_newcomer,overwhelmed_veteran",state_requirements_complete.json multiple states
1102,Tell me about state_variations,"Requirements vary significantly by state: Florida 14 hours every 2 years, Utah 6 hours every 2 years, North Carolina 8 hours annually (2 hours mandatory course + 6 elective), Tennessee 8 hours every 2 years (minimum 2 hours worker safety), Georgia varies by license type (0-6 hours), California/Nevada/Arizona currently 0 hours. Online course limits: Georgia 50% maximum online, North Carolina no December completion allowed. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",business_formation_operations,FL,"continuing_education,state_variations,florida_14,utah_6,nc_annual_8,online_limits",normal,intermediate,"confused_newcomer,overwhelmed_veteran",state_requirements_complete.json multiple states
1103,Qualifier Arrangement Legal Structure,"Qualifier arrangements require proper legal structure setup: $2,500 legal structure cost included in $10,535 total setup. Qualified contractor provides license while business owner maintains operations and profits. Qualified contractor typically receives $3,000/month fee. Must comply with state regulations for qualifier supervision. Ideal for: contractors wanting immediate licensing, avoiding personal exam requirements, or multi-state expansion. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",qualifier_network_programs,,"qualifier_legal_structure,2500_legal_cost,license_supervision,state_compliance,immediate_licensing",normal,advanced,"strategic_investor,urgent_operator",financing_options_guide.json - qualifier package breakdown
1104,What about qualifier_legal_structure?,"Qualifier arrangements require proper legal structure setup: $2,500 legal structure cost included in $10,535 total setup. Qualified contractor provides license while business owner maintains operations and profits. Qualified contractor typically receives $3,000/month fee. Must comply with state regulations for qualifier supervision. Ideal for: contractors wanting immediate licensing, avoiding personal exam requirements, or multi-state expansion. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",qualifier_network_programs,,"qualifier_legal_structure,2500_legal_cost,license_supervision,state_compliance,immediate_licensing",normal,advanced,"strategic_investor,urgent_operator",financing_options_guide.json - qualifier package breakdown
1105,Tell me about qualifier_legal_structure,"Qualifier arrangements require proper legal structure setup: $2,500 legal structure cost included in $10,535 total setup. Qualified contractor provides license while business owner maintains operations and profits. Qualified contractor typically receives $3,000/month fee. Must comply with state regulations for qualifier supervision. Ideal for: contractors wanting immediate licensing, avoiding personal exam requirements, or multi-state expansion. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",qualifier_network_programs,,"qualifier_legal_structure,2500_legal_cost,license_supervision,state_compliance,immediate_licensing",normal,advanced,"strategic_investor,urgent_operator",financing_options_guide.json - qualifier package breakdown
1106,How does qualifier_legal_structure work?,"Qualifier arrangements require proper legal structure setup: $2,500 legal structure cost included in $10,535 total setup. Qualified contractor provides license while business owner maintains operations and profits. Qualified contractor typically receives $3,000/month fee. Must comply with state regulations for qualifier supervision. Ideal for: contractors wanting immediate licensing, avoiding personal exam requirements, or multi-state expansion. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",qualifier_network_programs,,"qualifier_legal_structure,2500_legal_cost,license_supervision,state_compliance,immediate_licensing",normal,advanced,"strategic_investor,urgent_operator",financing_options_guide.json - qualifier package breakdown
1107,qualifier_legal_structure information,"Qualifier arrangements require proper legal structure setup: $2,500 legal structure cost included in $10,535 total setup. Qualified contractor provides license while business owner maintains operations and profits. Qualified contractor typically receives $3,000/month fee. Must comply with state regulations for qualifier supervision. Ideal for: contractors wanting immediate licensing, avoiding personal exam requirements, or multi-state expansion. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",qualifier_network_programs,,"qualifier_legal_structure,2500_legal_cost,license_supervision,state_compliance,immediate_licensing",normal,advanced,"strategic_investor,urgent_operator",financing_options_guide.json - qualifier package breakdown
1108,I need help with qualifier_legal_structure,"Qualifier arrangements require proper legal structure setup: $2,500 legal structure cost included in $10,535 total setup. Qualified contractor provides license while business owner maintains operations and profits. Qualified contractor typically receives $3,000/month fee. Must comply with state regulations for qualifier supervision. Ideal for: contractors wanting immediate licensing, avoiding personal exam requirements, or multi-state expansion. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",qualifier_network_programs,,"qualifier_legal_structure,2500_legal_cost,license_supervision,state_compliance,immediate_licensing",normal,advanced,"strategic_investor,urgent_operator",financing_options_guide.json - qualifier package breakdown
1109,What about 2500_legal_cost?,"Qualifier arrangements require proper legal structure setup: $2,500 legal structure cost included in $10,535 total setup. Qualified contractor provides license while business owner maintains operations and profits. Qualified contractor typically receives $3,000/month fee. Must comply with state regulations for qualifier supervision. Ideal for: contractors wanting immediate licensing, avoiding personal exam requirements, or multi-state expansion. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",qualifier_network_programs,,"qualifier_legal_structure,2500_legal_cost,license_supervision,state_compliance,immediate_licensing",normal,advanced,"strategic_investor,urgent_operator",financing_options_guide.json - qualifier package breakdown
1110,Tell me about 2500_legal_cost,"Qualifier arrangements require proper legal structure setup: $2,500 legal structure cost included in $10,535 total setup. Qualified contractor provides license while business owner maintains operations and profits. Qualified contractor typically receives $3,000/month fee. Must comply with state regulations for qualifier supervision. Ideal for: contractors wanting immediate licensing, avoiding personal exam requirements, or multi-state expansion. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",qualifier_network_programs,,"qualifier_legal_structure,2500_legal_cost,license_supervision,state_compliance,immediate_licensing",normal,advanced,"strategic_investor,urgent_operator",financing_options_guide.json - qualifier package breakdown
1111,Financing Source Comparison - Business Credit Cards vs SBA Loans,"Business Credit Cards: Pros - quick approval, build credit, cash flow flexibility, rewards. Cons - high rates (18-25%), credit limits, personal guarantee. Typical limits $5K-$25K new businesses. SBA Microloans: $500-$50K range, 8-13% rates, up to 6 years terms, 640+ credit score, business plan required, 30-90 day approval. SBA 7(a): $25K-$5M range, 11.5-14.5% rates, up to 25 years, 10-15% down. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",financial_planning_roi,,"financing_comparison,business_credit_cards,sba_microloans,sba_7a,approval_times,qualification_requirements",normal,advanced,"strategic_investor,confused_newcomer",financing_options_guide.json - financing sources
1112,What about financing_comparison?,"Business Credit Cards: Pros - quick approval, build credit, cash flow flexibility, rewards. Cons - high rates (18-25%), credit limits, personal guarantee. Typical limits $5K-$25K new businesses. SBA Microloans: $500-$50K range, 8-13% rates, up to 6 years terms, 640+ credit score, business plan required, 30-90 day approval. SBA 7(a): $25K-$5M range, 11.5-14.5% rates, up to 25 years, 10-15% down. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",financial_planning_roi,,"financing_comparison,business_credit_cards,sba_microloans,sba_7a,approval_times,qualification_requirements",normal,advanced,"strategic_investor,confused_newcomer",financing_options_guide.json - financing sources
1113,Tell me about financing_comparison,"Business Credit Cards: Pros - quick approval, build credit, cash flow flexibility, rewards. Cons - high rates (18-25%), credit limits, personal guarantee. Typical limits $5K-$25K new businesses. SBA Microloans: $500-$50K range, 8-13% rates, up to 6 years terms, 640+ credit score, business plan required, 30-90 day approval. SBA 7(a): $25K-$5M range, 11.5-14.5% rates, up to 25 years, 10-15% down. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",financial_planning_roi,,"financing_comparison,business_credit_cards,sba_microloans,sba_7a,approval_times,qualification_requirements",normal,advanced,"strategic_investor,confused_newcomer",financing_options_guide.json - financing sources
1114,How does financing_comparison work?,"Business Credit Cards: Pros - quick approval, build credit, cash flow flexibility, rewards. Cons - high rates (18-25%), credit limits, personal guarantee. Typical limits $5K-$25K new businesses. SBA Microloans: $500-$50K range, 8-13% rates, up to 6 years terms, 640+ credit score, business plan required, 30-90 day approval. SBA 7(a): $25K-$5M range, 11.5-14.5% rates, up to 25 years, 10-15% down. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",financial_planning_roi,,"financing_comparison,business_credit_cards,sba_microloans,sba_7a,approval_times,qualification_requirements",normal,advanced,"strategic_investor,confused_newcomer",financing_options_guide.json - financing sources
1115,financing_comparison information,"Business Credit Cards: Pros - quick approval, build credit, cash flow flexibility, rewards. Cons - high rates (18-25%), credit limits, personal guarantee. Typical limits $5K-$25K new businesses. SBA Microloans: $500-$50K range, 8-13% rates, up to 6 years terms, 640+ credit score, business plan required, 30-90 day approval. SBA 7(a): $25K-$5M range, 11.5-14.5% rates, up to 25 years, 10-15% down. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",financial_planning_roi,,"financing_comparison,business_credit_cards,sba_microloans,sba_7a,approval_times,qualification_requirements",normal,advanced,"strategic_investor,confused_newcomer",financing_options_guide.json - financing sources
1116,I need help with financing_comparison,"Business Credit Cards: Pros - quick approval, build credit, cash flow flexibility, rewards. Cons - high rates (18-25%), credit limits, personal guarantee. Typical limits $5K-$25K new businesses. SBA Microloans: $500-$50K range, 8-13% rates, up to 6 years terms, 640+ credit score, business plan required, 30-90 day approval. SBA 7(a): $25K-$5M range, 11.5-14.5% rates, up to 25 years, 10-15% down. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",financial_planning_roi,,"financing_comparison,business_credit_cards,sba_microloans,sba_7a,approval_times,qualification_requirements",normal,advanced,"strategic_investor,confused_newcomer",financing_options_guide.json - financing sources
1117,What about business_credit_cards?,"Business Credit Cards: Pros - quick approval, build credit, cash flow flexibility, rewards. Cons - high rates (18-25%), credit limits, personal guarantee. Typical limits $5K-$25K new businesses. SBA Microloans: $500-$50K range, 8-13% rates, up to 6 years terms, 640+ credit score, business plan required, 30-90 day approval. SBA 7(a): $25K-$5M range, 11.5-14.5% rates, up to 25 years, 10-15% down. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",financial_planning_roi,,"financing_comparison,business_credit_cards,sba_microloans,sba_7a,approval_times,qualification_requirements",normal,advanced,"strategic_investor,confused_newcomer",financing_options_guide.json - financing sources
1118,Tell me about business_credit_cards,"Business Credit Cards: Pros - quick approval, build credit, cash flow flexibility, rewards. Cons - high rates (18-25%), credit limits, personal guarantee. Typical limits $5K-$25K new businesses. SBA Microloans: $500-$50K range, 8-13% rates, up to 6 years terms, 640+ credit score, business plan required, 30-90 day approval. SBA 7(a): $25K-$5M range, 11.5-14.5% rates, up to 25 years, 10-15% down. ⚡ MEDIUM PRIORITY: This information is time-sensitive.",financial_planning_roi,,"financing_comparison,business_credit_cards,sba_microloans,sba_7a,approval_times,qualification_requirements",normal,advanced,"strategic_investor,confused_newcomer",financing_options_guide.json - financing sources
1119,Alternative Study Options and Cost Comparison,"Study option comparison: Rocket Cert package $1,678 (95% pass rate), Used books $400-$800 (lower success), Online only $299-$599 (medium success), Classroom prep $800-$1,500 (good success), Private tutoring $100-$150/hour (variable success). Investment in comprehensive materials pays for itself through higher first-time pass probability. Failed exam costs: time delay, retest fees, lost opportunities worth $10K-$50K. This information is time-sensitive.",exam_preparation_testing,,"study_options,cost_comparison,success_rates,rocket_cert_95,failed_exam_costs,opportunity_loss",high,intermediate,"skeptical_shopper,confused_newcomer",financing_options_guide.json - exam education costs
1120,What about study_options?,"Study option comparison: Rocket Cert package $1,678 (95% pass rate), Used books $400-$800 (lower success), Online only $299-$599 (medium success), Classroom prep $800-$1,500 (good success), Private tutoring $100-$150/hour (variable success). Investment in comprehensive materials pays for itself through higher first-time pass probability. Failed exam costs: time delay, retest fees, lost opportunities worth $10K-$50K. This information is time-sensitive.",exam_preparation_testing,,"study_options,cost_comparison,success_rates,rocket_cert_95,failed_exam_costs,opportunity_loss",high,intermediate,"skeptical_shopper,confused_newcomer",financing_options_guide.json - exam education costs
1121,Tell me about study_options,"Study option comparison: Rocket Cert package $1,678 (95% pass rate), Used books $400-$800 (lower success), Online only $299-$599 (medium success), Classroom prep $800-$1,500 (good success), Private tutoring $100-$150/hour (variable success). Investment in comprehensive materials pays for itself through higher first-time pass probability. Failed exam costs: time delay, retest fees, lost opportunities worth $10K-$50K. This information is time-sensitive.",exam_preparation_testing,,"study_options,cost_comparison,success_rates,rocket_cert_95,failed_exam_costs,opportunity_loss",high,intermediate,"skeptical_shopper,confused_newcomer",financing_options_guide.json - exam education costs
1122,How does study_options work?,"Study option comparison: Rocket Cert package $1,678 (95% pass rate), Used books $400-$800 (lower success), Online only $299-$599 (medium success), Classroom prep $800-$1,500 (good success), Private tutoring $100-$150/hour (variable success). Investment in comprehensive materials pays for itself through higher first-time pass probability. Failed exam costs: time delay, retest fees, lost opportunities worth $10K-$50K. This information is time-sensitive.",exam_preparation_testing,,"study_options,cost_comparison,success_rates,rocket_cert_95,failed_exam_costs,opportunity_loss",high,intermediate,"skeptical_shopper,confused_newcomer",financing_options_guide.json - exam education costs
1123,study_options information,"Study option comparison: Rocket Cert package $1,678 (95% pass rate), Used books $400-$800 (lower success), Online only $299-$599 (medium success), Classroom prep $800-$1,500 (good success), Private tutoring $100-$150/hour (variable success). Investment in comprehensive materials pays for itself through higher first-time pass probability. Failed exam costs: time delay, retest fees, lost opportunities worth $10K-$50K. This information is time-sensitive.",exam_preparation_testing,,"study_options,cost_comparison,success_rates,rocket_cert_95,failed_exam_costs,opportunity_loss",high,intermediate,"skeptical_shopper,confused_newcomer",financing_options_guide.json - exam education costs
1124,I need help with study_options,"Study option comparison: Rocket Cert package $1,678 (95% pass rate), Used books $400-$800 (lower success), Online only $299-$599 (medium success), Classroom prep $800-$1,500 (good success), Private tutoring $100-$150/hour (variable success). Investment in comprehensive materials pays for itself through higher first-time pass probability. Failed exam costs: time delay, retest fees, lost opportunities worth $10K-$50K. This information is time-sensitive.",exam_preparation_testing,,"study_options,cost_comparison,success_rates,rocket_cert_95,failed_exam_costs,opportunity_loss",high,intermediate,"skeptical_shopper,confused_newcomer",financing_options_guide.json - exam education costs
